Brand_Name,Colour
Dupatta Bazaar,White
Dupatta Bazaar,White
Dupatta Bazaar,Orange
Dupatta Bazaar,Black
Dupatta Bazaar,Orange
Dupatta Bazaar,Maroon
Dupatta Bazaar,Green
Dupatta Bazaar,Navy Blue
Dupatta Bazaar,White
Dupatta Bazaar,Pink
Dupatta Bazaar,White
Dupatta Bazaar,Pink
Dupatta Bazaar,Off White
Dupatta Bazaar,Beige
Dupatta Bazaar,Silver
Dupatta Bazaar,Off White
Dupatta Bazaar,Yellow
Dupatta Bazaar,White
Dupatta Bazaar,Orange
Dupatta Bazaar,Gold
Dupatta Bazaar,Maroon
Dupatta Bazaar,White
Dupatta Bazaar,Beige
Dupatta Bazaar,Maroon
Dupatta Bazaar,Red
Dupatta Bazaar,Red
Dupatta Bazaar,Black
Dupatta Bazaar,Pink
Dupatta Bazaar,White
Dupatta Bazaar,Red
Dupatta Bazaar,Black
Dupatta Bazaar,White
Dupatta Bazaar,Pink
Dupatta Bazaar,Red
Dupatta Bazaar,Olive
Dupatta Bazaar,Blue
Dupatta Bazaar,White
Dupatta Bazaar,Olive
Dupatta Bazaar,Green
Dupatta Bazaar,Navy Blue
Dupatta Bazaar,Beige
Dupatta Bazaar,Beige
Dupatta Bazaar,Orange
Dupatta Bazaar,Navy Blue
Dupatta Bazaar,Fuchsia
Dupatta Bazaar,Blue
Dupatta Bazaar,Beige
Dupatta Bazaar,Green
Dupatta Bazaar,Purple
Dupatta Bazaar,Red
Dupatta Bazaar,Gold
Dupatta Bazaar,Green
Dupatta Bazaar,Turquoise Blue
Dupatta Bazaar,Green
Dupatta Bazaar,White
Dupatta Bazaar,Gold
Dupatta Bazaar,Sea Green
Dupatta Bazaar,Mustard
Dupatta Bazaar,Cream
Dupatta Bazaar,Pink
Dupatta Bazaar,Cream
Dupatta Bazaar,Black
Dupatta Bazaar,Grey
Dupatta Bazaar,Beige
Dupatta Bazaar,Orange
Dupatta Bazaar,White
Dupatta Bazaar,Orange
Dupatta Bazaar,Beige
Dupatta Bazaar,Grey
Dupatta Bazaar,White
Dupatta Bazaar,Cream
Dupatta Bazaar,Pink
Dupatta Bazaar,White
Dupatta Bazaar,Cream
Dupatta Bazaar,Green
Dupatta Bazaar,Black
Dupatta Bazaar,Black
Dupatta Bazaar,Beige
Dupatta Bazaar,Magenta
Dupatta Bazaar,Brown
Dupatta Bazaar,Sea Green
Dupatta Bazaar,Cream
Dupatta Bazaar,Grey
Dupatta Bazaar,Peach
Dupatta Bazaar,Yellow
Dupatta Bazaar,Black
Dupatta Bazaar,Red
Dupatta Bazaar,Navy Blue
Dupatta Bazaar,Beige
Dupatta Bazaar,White
Dupatta Bazaar,Maroon
Dupatta Bazaar,Blue
Dupatta Bazaar,White
Dupatta Bazaar,Fuchsia
Dupatta Bazaar,Peach
Dupatta Bazaar,Black
Dupatta Bazaar,Purple
Dupatta Bazaar,Gold
Dupatta Bazaar,Green
Dupatta Bazaar,Beige
Dupatta Bazaar,Fuchsia
Dupatta Bazaar,Blue
Dupatta Bazaar,Beige
Dupatta Bazaar,Brown
Dupatta Bazaar,Beige
Dupatta Bazaar,Beige
Dupatta Bazaar,Fuchsia
Dupatta Bazaar,Maroon
Dupatta Bazaar,Red
Dupatta Bazaar,Red
Dupatta Bazaar,Black
Dupatta Bazaar,Yellow
Dupatta Bazaar,Blue
Dupatta Bazaar,Red
Dupatta Bazaar,Sea Green
Dupatta Bazaar,White
Dupatta Bazaar,Black
Dupatta Bazaar,Burgundy
Dupatta Bazaar,Blue
Dupatta Bazaar,Red
Dupatta Bazaar,Red
Dupatta Bazaar,Beige
Dupatta Bazaar,Maroon
Dupatta Bazaar,White
Dupatta Bazaar,Red
Dupatta Bazaar,Beige
Dupatta Bazaar,Green
Dupatta Bazaar,Gold
Dupatta Bazaar,Beige
Dupatta Bazaar,Multi
